date	close
02-01-2016	35
03-01-2016	30
04-01-2016	41
05-01-2016	43
06-01-2016	44
07-01-2016	39
08-01-2016	51
09-01-2016	63
10-01-2016	49
11-01-2016	61
12-01-2016	59
13-01-2016	46
14-01-2016	68
15-01-2016	52
16-01-2016	37
17-01-2016	40
18-01-2016	59
19-01-2016	59
20-01-2016	67
21-01-2016	84
22-01-2016	71
23-01-2016	51
24-01-2016	49
25-01-2016	39
26-01-2016	52
27-01-2016	40
28-01-2016	43
29-01-2016	50
30-01-2016	21
31-01-2016	26
01-02-2016	44
02-02-2016	18
03-02-2016	21
04-02-2016	30
05-02-2016	50
06-02-2016	52
07-02-2016	57
08-02-2016	35
09-02-2016	38
10-02-2016	44
11-02-2016	35
12-02-2016	87
13-02-2016	58
14-02-2016	40
15-02-2016	31
16-02-2016	69
17-02-2016	55
18-02-2016	61
19-02-2016	61
20-02-2016	40
21-02-2016	27
22-02-2016	28
23-02-2016	42
24-02-2016	48
25-02-2016	55
26-02-2016	95
27-02-2016	76
28-02-2016	47
29-02-2016	52
01-03-2016	46
02-03-2016	51
03-03-2016	63
04-03-2016	66
05-03-2016	43
06-03-2016	47
07-03-2016	121
08-03-2016	107
09-03-2016	67
10-03-2016	40
11-03-2016	37
12-03-2016	29
13-03-2016	30
14-03-2016	64
15-03-2016	36
16-03-2016	83
17-03-2016	106
18-03-2016	37
19-03-2016	30
20-03-2016	23
21-03-2016	29
22-03-2016	53
23-03-2016	58
24-03-2016	83
25-03-2016	48
26-03-2016	57
27-03-2016	28
28-03-2016	37
29-03-2016	41
30-03-2016	58
31-03-2016	59
01-04-2016	92
02-04-2016	58
03-04-2016	83
04-04-2016	112
05-04-2016	96
06-04-2016	59
07-04-2016	62
08-04-2016	75
09-04-2016	84
10-04-2016	34
11-04-2016	50
12-04-2016	61
13-04-2016	49
14-04-2016	57
15-04-2016	61
16-04-2016	45
17-04-2016	41
18-04-2016	55
19-04-2016	19
20-04-2016	46
21-04-2016	54
22-04-2016	43
23-04-2016	31
24-04-2016	15
25-04-2016	35
26-04-2016	47
27-04-2016	37
28-04-2016	63
29-04-2016	83
30-04-2016	37
01-05-2016	35
02-05-2016	81
03-05-2016	77
04-05-2016	41
05-05-2016	45
06-05-2016	47
07-05-2016	24
08-05-2016	50
09-05-2016	40
10-05-2016	34
11-05-2016	50
12-05-2016	37
13-05-2016	25
14-05-2016	35
15-05-2016	8
16-05-2016	12
17-05-2016	26
18-05-2016	68
19-05-2016	68
20-05-2016	45
21-05-2016	67
22-05-2016	51
23-05-2016	57
24-05-2016	38
25-05-2016	23
26-05-2016	35
27-05-2016	67
28-05-2016	28
29-05-2016	23
30-05-2016	55
31-05-2016	53
