date	Amrumer Straße	Belziger Straße	Marienfelde Schichauweg	Grunewald	Nansenstraße	Buch	Friedrichshagen	Schildhornstraße	Frohnau	Silbersteinstraße	Karl-Marx-Str	Frankfurter Allee	Rheingoldstraße	Hardenbergplatz	Brückenstraße	Mariendorfer Damm
20160102	36	35	23	35	21	25	14	38	32	47	33	31	17	53	22	24
20160103	22	30	18	16	17	11	13	36	12	54	34	34	14	58	19	22
20160104	36	41	28	37	34	24	24	47	24	70	41	45	29	66	33	35
20160105	39	43	37	41	35	29	32	43	25	61	42	46	33	64	36	40
20160106	34	44	36	41	39	29	31	53	25	69	45	51	33	62	35	49
20160107	38	39	33	37	34	33	30	51	34	63	44	46	31	67	35	33
20160108	50	51	30	41	47	44	29	69	37	91	79	57	43	56	52	78
20160109	60	63	41	61	55	48	32	94	46	99	83	64	44	102	55	64
20160110	51	49	28	51	58	42	28	72	37	100	77	73	41	84	48	71
20160111	64	61	40	53	52	45	36	102	45	105	86	99	45	99	56	80
20160112	63	59	38	42	60	53	48	87	48	116	118	88	62	93	54	88
20160113	52	46	28	23	49	37	40	82	33	87	78	71	48	68	47	82
20160114	64	68	32	54	66	57	31	101	48	110	113	66	55	117	65	78
20160115	52	52	38	44	44	36	25	73	38	94	50	70	33	87	45	54
20160116	47	37	19	25	40	23	24	65	32	109	85	52	31	84	42	66
20160117	37	40	33	32	35	22	30	48	20	53	65	44	32	60	31	63
20160118	71	59	60	61	71	69	48	96	49	116	113		96	96	67	107
20160119	63	59	38	51	53	55	44	84	50	91	93	71	62	113	53	83
20160120	65	67	49	37	61	41	62	90	55	71	110	78	72	87	63	106
20160121	72	84	60	73	88	66	69	111	46	110	121	89	83	92	79	111
20160122	74	71	49	70	78	57	54	108	64	110	95	80	57	111	71	77
20160123	52	51	38	34	61	48	50	77	49	86	83	80	54	77	49	81
20160124	52	49	19	42	46	44	23	66	35	73	71	56	42	80	44	65
20160125	43	39	33	41	42	36	33	60	29	68	81	76	38	68	37	65
20160126	54	52	24	30	43	41	28	75	39	83	86	57	44	80	47	72
20160127	53	40	12	19	35	32	14	73	22	88	74	43	29	66	41	72
20160128	58	43	33	15	66	24	38	75	44	96	110	91	53	77	45	96
20160129	51	50	25	40	50	41	22	73	25	76	78	70	49	59	51	74
20160130	23	21	6	9	20	12	7	39	8	54	58	40	22	36	18	37
20160131	20	26	8	6	34	19	11	35	10	61	61	38	20	40	25	58
20160201	50	44	40	21	50	37	32	82	20	87	96	71	54	87	50	85
20160202	39	18	11	7	31	8	22	48	7	62	87	76	27	56	27	86
20160203	37	21	16	10	34	11	20	43	13	61	87	70	26	66	32	70
20160204	43	30	18	10	41	15	36	60	13	56	94	75	36	64	37	80
20160205	55	50	35	19	50	35	33	76	26	88	89	71	53	87	45	88
20160206	45	52	17	24	47	32	17	70	30	95	90	51	39	94	46	55
20160207	47	57	16	30	41	24	17	53	30	81	72	54	29	70	50	61
20160208	45	35	12	20	29	31	10	61	21	88	78	50	27	102	31	58
20160209	39	38	8	13	34	18	6	74	22	93	86	51	23	87	29	70
20160210	41	44	21	26	56	34	22	72	27	99	96	60	38	72		90
20160211	46	35	18	15	43	20	23	71	19	87	102	82	39	67	41	89
20160212	73	87	65	72	77	54	47	112	52	118	108	84	64	119	70	100
20160213	54	58	46	50	42	29	22	81	39	108	72	58	42	94	50	61
20160214	36	40	27	31	31	15	11	46	14	71	41	40	20	75	29	43
20160215	33	31	26	13	33	19	27	58	15	43	56	60	33	32	32	78
20160216	56	69	62	34	66	37	34	94	25	102	88	67	60	78	63	102
20160217	42	55	58	51	38	33	25	65	25	88	47	61	42	75	40	68
20160218	61	61	49	37	58	43	35	93	33	97	109	65	47	100	57	79
20160219	61	61	51	34	59	31	39	86	33	86	94	72	47	82	54	97
20160220	39	40	35	31	43	40	36	43	30	66	65	47	42	47	42	54
20160221	31	27	8	10	26	19	9	45	10	65	53	39	28	51	24	62
20160222	41	28	12	7	41	13	23	63	8	84	97	76	36	67	42	89
20160223	45	42	20	12	53	13	26	64	16	85	106	80	51	69	42	92
20160224	57	48	27	18	60	36	40	86	25	85	101	92	69	85	44	109
20160225	59	55	41	40	58	50	42	87	25	132	113	87	58	85	61	107
20160226	96	95	50	50	84	49	41	100	47	117	142	99	67	111	91	103
20160227	81	76	54	55	73	41	36	85	45	88	90	88	54	88	82	70
20160228	34	47	30	25	44	22	14	59	11	77	53	24	20	69	32	46
20160229	45	52	37	42	44	17	13	62	16	60	53	48	30	70	46	64
20160301	50	46	44	45	61	46	29	103	36	102	112	76	60	83	52	105
20160302	49	51	20	46	61	49	30	77	30	83	91	80	50	79	42	100
20160303	74	63	47	45	76	62	45	119	55	129	122	78	74	108	68	97
20160304	75	66	28	46	65	56	39	103	47	117	81	83	51	110	66	105
20160305	36	43	22	26	38	19	14	70	17	80	55	49	21	77	27	28
20160306	41	47	26	41	48	44	23	59	19	70	63	50	41	54	44	58
20160307	91	121	60	39	81	46	30	116	33	105	101	94	59	99	90	124
20160308	87	107	59	48	107	62	51	111	38	186	135	137	83	116	100	118
20160309	78	67	37	56	68	44	33	95	54	96	83	77	49	87	69	62
20160310	32	40	28	38	37	16	20	56	13	58	49	41	20	81	30	42
20160311	24	37	33	26	33	12	18	59	6	60	45	30	22	67	30	54
20160312	17	29	21	12	27	6	8	55	6	59	45	21	15	61	17	36
20160313	25	30	21	16	26	17	10	53	13	75	55	47	26	64	19	46
20160314	59	64	43	24	62	28	39	112	36	104	95	70	58	91	64	110
20160315	26	36	25	25	33	8	14	53	8	68	44	41	31	71	38	64
20160316	83	83	65	37	61	52	27	98	20	105	64	75	63	104	76	86
20160317	92	106	67	56	105	56	54	137	52	154	141	138	92	136	92	130
20160318	61	37	60	16	60	25	57	73	21	51	82	77	73	57	41	89
20160319	31	30	22	14	49	21	21	60	24	67	81	57	40	64	37	73
20160320	32	23	13	5	35	11	32	38	12	42	64	52	25	48	30	62
20160321	46	29	17	7	38	14	27	64	13	65	92	82	37	65	38	90
20160322	50	53	35	8	65	27	38	90	26	72	97	82	54	82	69	108
20160323	60	58	26	8	50	30	37	72	31	72	96	77	49	78	44	95
20160324	80	83	38	62	74	55	46	111	46	111	121	67	120	70		99
20160325	38	48	19	46	41	57	40	49	33	64	66	59	56	69	36	75
20160326	45	57	21	43	44	32	21	81	32	119	96	47	38	101	46	78
20160327	27	28	15	17	34	25	14	47	29	69	68	50	29	69	29	65
20160328	33	37	22	33	39	23	9	45	21	60	62	37	23	99	47	46
20160329	46	41	16	14	63	25	28	79	15	79	95	78	48	71	42	99
20160330	75	58	23	38	70	55	38	90	43	89	91	73	46	96	66	74
20160331	75	59	48	18	64	49	49	94	35	104	82	72	58	68	67	106
20160401	92	92	56	43	80	34	34	109	33	110	92	88	55	112	75	103
20160402	52	58	26	52	48	32	24	99	38	77	94	59	39	92	44	56
20160403	79	83	28	61	87	34	28	102	33	118	106	77	51	102	70	80
20160404	116	112	56	60	118	67	43	130	51	158	139	119	79	144	116	132
20160405	93	96	68		108	36	46	128	34	128	117	118	57	152	107	134
20160406	55	59	27	36	46	26	15	80	34	100	93	79	44	106	40	88
20160407	56	62	19	21	65	59	16	96	29	94	90	95	41	95	54	113
20160408	72	75	52	58	72	54	40	117	39	90	88	89	62	95	73	107
20160409	78	84	18		70	30	27	71	44	103	81	79	40	72	72	74
20160410	34	34	13	15	29	21	8	47	14	78	34	34	12	63	25	38
20160411	46	50	37	54	50	19	21	77	15	75	60	42	27	89	39	78
20160412	70	61	38	55	56	26	21	99	27	112	82	75	41	112	56	65
20160413	63	49	30	30	57	34	23	91	36	103	95	84	37	81	61	101
20160414	69	57	41	18	82	40	35	91	26	91	100	97	59	91	79	94
20160415	65	61	30	46	69	38	28	106	46	95	89	81	33	124	73	76
20160416	46	45	25	34	45	29	12	54	37	84	76	60	32	68	54	66
20160417	35	41	12	29	36	23	21	43	17	58	72	54	25	48	42	67
20160418	71	55	44	26	62	43	41	112	31	94	79	87	67	85	59	107
20160419	33	19	12	10	24	11	15	64	11	41	70	84	23	52	28	99
20160420	44	46	19	8	34	27	28	73	21	50	84	76	28	52	31	102
20160421	51	54	39	9	67	33	52	90	27	81	87	85	60	73	67	102
20160422	60	43	26	9	82	36	34	77	23	82	89	81	59	70	54	90
20160423	26	31	17	9	24	11	26	51	16	30	74	45	21	36	22	63
20160424	32	15	7	4	26	8	16	37	5	45	55	42	24	43	21	72
20160425	39	35	15	21	27	18	22	70	24	80	70	76	24	83	32	95
20160426	53	47	19	19	49	37	18	98	25	100	86	84	39	84	45	99
20160427	49	37	10	13	29	21	9	69	16	95	66	48	22	82	27	66
20160428	67	63	16	30	64	44	25	85	41	99	91	76	54	91	66	101
20160429	78	83	27	68	77	39	20	120	43	122	122	74	48	112	65	92
20160430	46	37	15	51	42	17	15	92	27	104	72	69	23	95	38	55
20160501	32	35	21	21	32	12	10	37	9	59	41	31	18	65	28	45
20160502	67	81	26	33	92	26	17	99	18	111	87	87	33	80	60	85
20160503	82	77	44	48	85	50	36	127	65	115	117	104	68	116	77	113
20160504	36	41	39	10	38	14	18	63	26	59	67	52	33	72	36	90
20160505	50	45	26	19	38	15	15	54	19	92	51	48	27	78	32	66
20160506	50	47	31	45	40	19	13	99	20	118	83	73	31	119	37	48
20160507	27	24	15	31	19	20	9	53	14	81	49	66	18	82	28	43
20160508	42	50	15	16	29	16	12	67	9	115	52	56	23	74	25	61
20160509	39	40	24	26	37	26	14	83	13	111	58	65	29	97	35	56
20160510	36	34	21	25	25	23	11	92	17	112	64	80	22	106	30	36
20160511	54	50	30	38	39	25	14	127	23	114	75	108	28	89	41	49
20160512	23	37	20	22	27	11	18	91	7	94	67	48	16	81	21	73
20160513	50	25	26	27	28	9	11	60	18	55	44	30	20	72	33	80
20160514	51	35	26	13	34	29	17	52	27	41	73	47	24	46	34	70
20160515	12	8	6	2	16	6	5	23	4	20	56	32	11	22	21	39
20160516	17	12	8	4	24	8	14	25	7	27	53	43	14	30	19	54
20160517	35	26	23	7	44	12	19	73	13	58	95	82	36	56	37	90
20160518	73	68	27	33	73	38	22	112	39	119	107	85	49	142	64	116
20160519	78	68	31	49	74	40	18	133	50	139	113	98	33	114	68	88
20160520	56	45	30	34	60	33	37	88	39	84	88	95	64	69	46	104
20160521	55	67	29	22	97	24	23	83	30	102	104	76	42	172	88	82
20160522	49	51	20	54	74	27	15	99	38	126	111	77	36	110	64	48
20160523	67	57	33	29	55	28	15	108	24	111	119	79	34	95	63	126
20160524	37	38	18	9	40	21	28	77	21	56	68	74	40	47	39	91
20160525	30	23	10	6	34	11	24	67	10	43	66	73	27	61	39	72
20160526	54	35	32	11	57	18	35	66	17	67	82	76	45	76	43	86
20160527	45	67	45	30	87	18	30	93	16	132	114	84	45	95	77	114
20160528	24	28	52	22	25	10	15	51	9	119	42	26	15	165	21	57
20160529	18	23	14	16	18	8	12	36	9	95	31	36	10	89	12	28
20160530	65	55	20	29	62	11	16	105	12	108	89	67	32	106	53	83
20160531	37	53	44	43	48	14	13	91	13	77	62	60	27	86	50	72
20160601	35	46	24	23	35	13	9	96	11	111	86	63	20	105	35	70
20160602	58	83	38	27	72	28	11	102	20	102	106	82	31	99	67	89
20160603	44	61	25	24	47	23	18	95	15	109	65	68	24	109	36	80
20160604	63	74	34	30	49	19	15	84	17	92	65	70	21	107	53	91
20160605	27	44	19	25	33	15	12	80	9	120	64	41	16	88	37	91
20160606	32	24	14	23	23	12	7	59	10	108	39	62	13	80	22	36
20160607	63	98	22	41	90	19	12	98	24	130	86	96	25	137	51	101
20160608	77	93	57	19	75	40	55	98	43	110	99	97	72	89	62	110
20160609	39	29	20	17	28	12	15	63	18	67	77	61	28	72	36	95
20160610	34	18	20	8	44	14	17	58	22	46	68	56	23	45	29	72
20160611	48	27	21	11	17	8	9	53	7	82	62	24	28	60	23	62
20160612	15	18	8	20	17	6	13	30	5	49	27	22	13	67	23	28
20160613	35	45	28	51	43	13	20	71	10	83	57	52	36	83	37	69
20160614	45	38	15	16	29	27	12	86	27	103	87	65	26	119	44	99
20160615	60	48	20	45	32	19	82	32	117	83	64	37	115	50	89
20160616	35	38	37	25	43	24	31	80	16	115	96	58	39	123	37	98
20160617	40	41	27	22	40	17	28	75	21	76	84	89	34	79	48	85
20160618	37	32	9	10	49	19	11	51	10	80	96	50	29	73	49	74
20160619	45	51	10	13	37	16	15	31	12	52	54	56	24	37	45	56
20160620	42	35	17	25	40	15	30	74	19	97	83	58	34	113	42	95
20160621	68	71	28	19	66	22	12	63	43	89	89	80	32	91	71	97
20160622	69	84	23	30	77	28	13	106	39	112	95	79	29	126	82	83
20160623	73	69	26	58	61	25	14	117	33	125	127	71	20	130	67	61
20160624	57	44	17	34	54	28	14	120	39	216	145	83	29	136	45	104
20160625	21	21	14	17	20	13	12	80	12	119	85	51	12	107	35	60
20160626	54	27	11	5	64	14	19	50	19	73	76	55	37	59	44	76
20160627	61	51	39	9	61	21	32	82	28	77	85	72	36	68	50	91
20160628	56	44	27	41	65	22	31	67	12	85	91	65	35	71	52	87
20160629	77	53	35	47		21	20	76	33	83	83	70	33	92	58	78
20160630	62	66	28	31	25	20		117	33	111	111	84	30	106	55	85
20160701	53	54	23	32	48	27	13	77	48	92	104	58	37	107	52	86
20160702	21	19	12	28	29	29	14	45	37	53	71	44	24	60	34	56
20160703	33	21	9	6	22	12	25	43	12	47	56	32	17	44	20	58
20160704	77	78	26	12	78	19	27	73	22	75	110	80	42	95	61	98
20160705	44	48	24	41	48	29	12	103	31	102	112	101	40	106	46	118
20160706	37	11	5	4	18	6	9	46	6	26	56	65	20	41	20	61
20160707	55	63	20	12	50	22	22	66	11	67	86	68	43	70	47	92
20160708	53	54	20	41	40	34	16	109	38	138	143	84	31	143	55	124
20160709	36	28	14	15	56	26	23	59	16	62	83	57	50	54	49	86
20160710	25	48	18	34	48	30	30	68	30	92	81	52	39	83	36	47
20160711	54	37	22	31	46	23	19	97	25	81	105	100	44	68	53	117
20160712	45	33	27	11	50	26	33	78	17	72	117	88	53	75	47	110
20160713	48	40	45	33	46	15	27	67	17	66	71	54	41	75	39	99
20160714	22	30	25	11	26	11	15	54	19	37	79	50	28	44	52	72
20160715	21	19	11	7	34	10	15	60	11	43	74	66	21	45	31	71
20160716	34	21	16	17	33	12	18	45	13	54	83	42	27	45	27	69
20160717	19	18	11	22	21	9	12	40	10	50	54	33	16	68	32	56
20160718	40	27	19	14	51	19	17	70	16	59	78	68	40	76	53	96
20160719	60	67	26	14	65	20	23	82	17	78	78	61	38	84	78	83
20160720	31	67	33	38	58	17	25	73	15	96	64	60	29	238	39	57
20160721	64	58	23	33	71	23	19	124	29	155	136	70	34	195	66	90
20160722	32	53	31	30	34	18	15	54	10	75	44	45	22	113	30	59
20160723	25	23	15	18	16	8	8	43	9	72	32	40	16	161	23	30
20160724	28	24	15	36	35	14	10	58	17	85	77	50	14	87	17	39
20160725	88	74	33	31	87	29	16	88	17	141	122	82	64	124	95	130
20160726	33	32	25	12	32	18	27	71	26	53	78	56	36	55	33	102
20160727	54	37	21	22	42	38	26	91	18	125	99	83	32	108	51	112
20160728	50	59	25	23	50	20	26	84	20	98	101	73	40	87	42	93
20160729	48	45	16	34	41	33	19	80	28	105	99	69	39	77	40	93
20160730	34	24	21	36	33	21	20	52	14	66	90	47	33	69	31	67
20160731	32	37	20	16	43	11	17	47	22	58	50	46	29	82	31	59
20160801	31	26	14	13	39	12	17	49	24	52	84	56	30	50	33	72
20160802	53	40	23	36	45	36	28	74	23	113	102	73	41	114	43	93
20160803	30	31	21	19	32	17	10	60	23	65	78	51	24	85	34	46
20160804	34	34	14	21	38	27	21	50	20	70	105	59	29	85	40	68
20160805	48	39	24	17	46	26	24	62	17	93	99	76	41	78	55	82
20160806	30	13	9	8	26	11	23	39	12	42	75	56	28	48	31	63
20160807	46	61	30	40	57	27	13	66	47	65	85	56	36	92	53	61
20160808	48	47	19	31	45	39	14	74	42	78	93	74	39	74	43	72
20160809	31	18	21	8	29	19	21	60	14	35	86	58	29	50	31	70
20160810	35	24	21	19	30	16	24	60	15	57	75	68	33	53	38	74
20160811	40	32	24	35	29	24	20	51	15	61	82	62	35	67	34	62
20160812	34	21	15	15	24	22	14	60	11	69	81	43	28	65	30	64
20160813	16	15	15	10	19	15	16	41	10	42	74	38	18	53	32	49
20160814		16	12	6	26	13	20	38	18	24	58	32	17	34	23	55
20160815	35	38	26	10	28	25	24	49	21	38	45	39	31	54	40	68	
20160816	43	46	28	14	39	20	34	58	27	57	68	73	45	51	40	73
20160817	70	69	44	25	79	25	25	64	24	79	89	75	54	110	71	90
20160818	56	62	44	16	62	27	49	77	34	72	90	91	58	79	66	84
20160819	48	52	40	56	90	26	17	130	27	116	96	78	36	107	52	98
20160820	36	36	17	47	37	29	20	89	32	88	100	50	33	123	57	61
20160821	47	57	22	20	41	31	15	55	15	54	76	48	34	85	44	58
20160822	39	35	28	9	46	25	24	60	15	82	101	72	40	94	63	80
20160823	66	67	34	14	61	22	16	55	32	73	86	72	35	88	73	87
20160824	54	53	27	37	45	24	13	80	32	120	90	78	22	123	52	61
20160825	44	39	26	38	67	23	18	89	21	105	72	81	20	143	35	30
20160826	66	59	18	76	102	56	20	156	31	135	153	79	28	162	83	86
20160827	49	62	34	36	64	16	19	73	32	87	77	70	27	123	53	71
20160828	95	96	13	21	87	27	56	133	14	148	160	108	57	157	110	107
