name,latitude,longitude,type,color
Elsterwerda,51.4619343,13.5195082,22,4990E2
Potsdam-Zentrum,52.3959943,13.057913,51,4990E2
Schwedt (Oder),53.0586366,14.2840858,12,4990E2
Eisenhüttenstadt,52.1448863,14.6294413,16,4990E2
Cottbus Bahnhofstr.,51.7531987,14.3284863,39,4990E2
Frankfurt (Oder) Leipziger Str.,52.3416062,14.5405586,59,4990E2
Neuruppin,52.9243859,12.8092919,34,4990E2
Brandenburg Neuendorfer Str.,52.4097187,12.5490368,66,4990E2
Hasenholz,52.5618427,14.0192624,15,4990E2
Potsdam Zeppelinstr.,52.3803942,13.0160947,93,4990E2
Brandenburg a.d. Havel,52.4108261,12.5497933,33,4990E2
Eberswalde Breite Straße,52.8335774,13.8213173,43,4990E2
Wittenberge,52.9983723,11.7507204,16,4990E2
Cottbus,51.7567447,14.3357307,25,4990E2
Lütte (Belzig),52.2094853,12.62469061,8,4990E2
Spreewald,52.0736707,13.86781856,31,4990E2
Nauen,52.6061065,12.8772599,52,4990E2
Bernau Lohmühlenstr.,52.6785577,13.5821589,71,4990E2
Potsdam Großbeerenstr.,52.3866385,13.1054893,29,4990E2
Potsdam Groß Glienicke,52.47625085,13.10675853,9,4990E2
Spremberg,51.5714513,14.3804302,38,4990E2
Blankenfelde-Mahlow,52.3476554,13.4114362,42,4990E2
Frankfurt (Oder),52.3412273,14.549452,21,4990E2
Herzfelde Hauptstr.,52.4817262,13.8524712,67,4990E2
B Wedding-Amrumer Str.,52.5421047,13.3495896,73,4990E2
B Schöneberg-Belziger Straße,52.4862088,13.3510322,69,4990E2
B Marienfelde-Schichauweg,52.3956297,13.3750351,26,4990E2
B Grunewald,52.48357,13.2369584,58,4990E2
B Neukölln-Nansenstraße,52.4906213,13.4318152,61,4990E2
B Buch,52.6366724,13.4999292,25,4990E2
B Friedrichshagen,52.4493804,13.6262724,14,4990E2
B Steglitz-Schildhornstr.,52.4665709,13.3113855,117,4990E2
B Frohnau Funkturm,52.6323917,13.2878663,33,4990E2
B Neukölln-Silbersteinstr.,52.4669608,13.4363994,125,4990E2
B Neukölln-Karl-Marx-Str. 76,52.4816894,13.4337987,127,4990E2
B Friedrichshain-Frankfurter Allee,52.5150239,13.4624159,71,4990E2
B Hardenbergplatz,52.5065229,13.3327779,20,4990E2
B Mitte Brückenstraße,52.5137573,13.4177576,130,4990E2
B Mariendorf Mariendorfer Damm,52.4392494,13.3875658,67,4990E2
Eggenstein,49.0791031,8.3960691,61,4990E2
Mannheim-Nord,49.4975184,8.4818795,60,4990E2
Heidelberg,49.4093608,8.6948125,40,4990E2
Wiesloch,49.2942599,8.698707,25,4990E2
Stuttgart Bad Cannstatt,48.8014069,9.2168515,14,4990E2
Heilbronn,49.1422908,9.2186549,54,4990E2
Ulm,48.3973944,9.9932755,63,4990E2
Kehl,48.5672747,7.8199164,47,4990E2
Weil am Rhein,47.5917173,7.6124394,145,4990E2
Ludwigsburg,48.8956194,9.1895147,20,4990E2
Aalen,48.8362705,10.0931765,27,4990E2
Schwarzwald-Süd,46.6334882,11.7290431,51,4990E2
Pforzheim,48.8908846,8.7029532,29,4990E2
Friedrichshafen,47.6505715,9.4797531,4,4990E2
Villingen-Schwenningen,48.0632739,8.494588,69,4990E2
Bernhausen,48.6778441,9.2155481,33,4990E2
Biberach,48.6070436,8.2104482,20,4990E2
Konstanz,47.659216,9.1750718,66,4990E2
Schwäbisch Hall,49.1123963,9.7369047,34,4990E2
Tauberbischofsheim,49.6228626,9.6627581,38,4990E2
Neuenburg,46.9895828,6.9292641,55,4990E2
Baden-Baden,48.7580777,8.2415239,20,4990E2
Karlsruhe Reinhold-Frank-Strasse,49.0104343,8.3875198,37,4990E2
Karlsruhe-Nordwest,48.94215275,8.261179232,35,4990E2
Freiburg,47.9960901,7.8494005,77,4990E2
Schwäbische Alb,48.53922175,9.037350506,42,4990E2
Mannheim Friedrichsring,49.4874789,8.4759175,33,4990E2
Stuttgart Arnulf-Klett-Platz,48.78378545,9.1794011,9,4990E2
Tübingen,48.5236164,9.0535531,119,4990E2
Gaertringen,48.6419208,8.9031632,87,4990E2
Stuttgart Hohenheimer Straße (S),48.7611045,9.2198735,50,4990E2
Ludwigsburg Friedrichstraße (S),48.889157,9.190732,22,4990E2
Stuttgart Am Neckartor,48.7881086,9.190975688,160,4990E2
Leonberg Grabenstraße,48.8015045,9.0165975,125,4990E2
Freiburg Schwarzwaldstraße,48.0356397,7.8693101,275,4990E2
Tübingen Mühlstraße (S),48.0662563,9.7606895,160,4990E2
